Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Salona Cotspin,SALONA,Salona Cotspin Ltd,59.7,1.68%,8.33,1.88,137,0.39,-55,-24,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining,2.3,EY:0.5 MoS:0.2 Cap:1.1 Div:0.5,⚠️ Value Trap
Blackbuck,BLACKBUCK,Blackbuck Ltd,60.0,1.67%,13.1,12.6,"10,404",0.00,37,22,1.62,2.73,1.62,2.73,6.9,V:4.4 L:8.8 R:8.4 T:6.0,🛡️ Mature,3.3,EY:0.5 MoS:1.0 Cap:1.6 Div:0.2,⚠️ Value Trap
Cochin Shipyard,COCHINSHIP,Cochin Shipyard Ltd,66.6,1.50%,14.3,11.2,"39,370",0.50,31,1,2.15,66.60,2.11,44.40,6.6,V:2.0 L:10.0 R:8.4 T:6.0,🛡️ Mature,3.4,EY:0.5 MoS:0.5 Cap:1.6 Div:0.8,⚠️ Value Trap
Kiran Vyapar,KIRANVYPAR,Kiran Vyapar Ltd,51.1,1.96%,2.70,0.93,549,0.50,-22,-32,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining,2.1,EY:0.5 MoS:0.2 Cap:0.6 Div:0.8,⚠️ Value Trap
Voltas,VOLTAS,Voltas Ltd,102,0.98%,5.82,4.39,"43,693",0.30,-12,-9,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.0,V:0.8 L:10.0 R:2.0 T:3.2,🔻 Declining,1.8,EY:0.5 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
GRP,GRPLTD,GRP Ltd,91.0,1.10%,8.26,5.41,"1,072",0.17,3,73,30.33,1.25,28.71,1.24,5.4,V:2.0 L:7.2 R:6.4 T:6.0,⚠️ Stagnant,2.6,EY:0.5 MoS:0.5 Cap:1.1 Div:0.5,⚠️ Value Trap
Lak. Electrical,LAKSELECON,Lakshmi Electrical Control Systems Ltd,174,0.57%,0.82,0.44,202,0.37,-61,-25,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining,1.8,EY:0.5 MoS:0.2 Cap:0.6 Div:0.5,⚠️ Value Trap
ZR2 Bioenergy,506640,ZR2 Bioenergy Ltd,208,0.48%,0.70,0.50,191,0.08,312,51,0.67,4.08,0.67,4.07,6.0,V:8.4 L:4.0 R:8.4 T:3.2,🚀 Inflection,3.7,EY:0.5 MoS:2.1 Cap:0.6 Div:0.5,⚠️ Value Trap
Bhudevi Infra,526488,Bhudevi Infra Projects Ltd,210,0.48%,1.12,11.3,84.1,0.00,-28,25,Negative Growth,8.40,Negative Growth+Yield,8.40,2.5,V:0.8 L:4.0 R:2.0 T:3.2,🔻 Declining,2.0,EY:0.5 MoS:0.2 Cap:1.1 Div:0.2,⚠️ Value Trap
Bombay Oxygen,509470,Bombay Oxygen Investments Ltd,279,0.36%,-0.81,-0.68,293,0.13,N/A,N/A,N/A,N/A,N/A,N/A,3.8,V:4.0 L:4.0 R:4.0 T:3.2,🔍 Discovery,2.6,EY:0.5 MoS:1.0 Cap:0.6 Div:0.5,⚠️ Value Trap
SKP Bearing,SKP,SKP Bearing Industries Ltd,17.6,5.68%,22.4,21.2,269,0.69,4,N/A,4.40,N/A,3.75,N/A,4.6,V:2.0 L:4.0 R:6.4 T:6.0,⚠️ Stagnant,5.6,EY:2.2 MoS:0.5 Cap:2.1 Div:0.8,⚖️ Fair Value
Digitide Solutio,DIGITIDE,Digitide Solutions Ltd,39.2,2.55%,11.2,6.91,"1,492",0.00,N/A,N/A,N/A,N/A,N/A,N/A,5.3,V:4.0 L:7.2 R:4.0 T:6.0,🔍 Discovery,3.3,EY:1.0 MoS:1.0 Cap:1.1 Div:0.2,⚠️ Value Trap
