Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
REC Ltd,RECLTD,REC Ltd,6.02,"96,280",5.05,14,14,0.43,0.43,0.32,0.32,9.1,V:10.0 L:10.0 R:6.4 T:10.0,🛡️ Mature
Canara Bank,CANBK,Canara Bank,6.21,"1,19,733",3.18,23,50,0.27,0.12,0.24,0.12,9.6,V:10.0 L:10.0 R:8.4 T:10.0,📈 Accelerating
Ruchira Papers,RUCHIRA,Ruchira Papers Ltd,7.50,331,4.50,-13,55,Negative Growth,0.14,Negative Growth+Yield,0.13,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Ceejay Finance,530789,Ceejay Finance Ltd,7.85,60.6,0.68,4,12,1.96,0.65,1.68,0.62,5.2,V:4.4 L:4.0 R:6.4 T:6.0,⚠️ Stagnant
Niraj Ispat Ind.,NIRAJISPAT,Niraj Ispat Industries Ltd,8.00,13.0,0.00,-1,36,Negative Growth,0.22,Negative Growth+Yield,0.22,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Slone Infosys.,SLONE,Slone Infosystems Ltd,8.48,76.4,0.34,129,N/A,0.07,N/A,0.07,N/A,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Monarch Surve.,544453,Monarch Surveyors and Engineering Consultants Ltd,8.78,327,0.69,63,N/A,0.14,N/A,0.14,N/A,8.5,V:10.0 L:4.0 R:10.0 T:10.0,🚀 Inflection
Palco Metals Ltd,539121,Palco Metals Ltd,,56.2,0.00,N/A,N/A,N/A,N/A,N/A,N/A,4.0,V:4.0 L:4.0 R:4.0 T:4.0,🔍 Discovery
Sr.Rayala.Hypo,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,8.65,889,0.58,-10,11,Negative Growth,0.79,Negative Growth+Yield,0.75,3.6,V:0.8 L:5.6 R:2.0 T:6.0,🔻 Declining
B P C L,BPCL,Bharat Petroleum Corporation Ltd,9.16,"1,38,538",5.45,107,13,0.09,0.70,0.08,0.50,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
Hind.Adhesive,514428,Hindustan Adhesives Ltd,8.23,145,0.00,54,15,0.15,0.55,0.15,0.55,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
J Kumar Infra,JKIL,J Kumar Infraprojects Ltd,9.80,"3,802",0.80,13,44,0.75,0.22,0.71,0.22,8.0,V:8.4 L:7.2 R:6.4 T:10.0,🛡️ Mature
Organic Recyclin,543997,Organic Recycling Systems Ltd,62.4,251,0.00,-5,10,Negative Growth,6.24,Negative Growth+Yield,6.24,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Lambodhara Text.,LAMBODHARA,Lambodhara Textiles Ltd,11.1,122,0.43,-14,1,Negative Growth,11.10,Negative Growth+Yield,7.76,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
Suryaamba Spinni,533101,Suryaamba Spinning Mills Ltd,11.8,36.0,0.81,-27,-6,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
SIL Investments,SILINV,SIL Investments Ltd,14.2,468,0.57,12,14,1.18,1.01,1.13,0.97,6.7,V:6.4 L:4.0 R:6.4 T:10.0,🛡️ Mature
Lords Chloro,LORDSCHLO,Lords Chloro Alkali Ltd,12.4,409,0.00,-19,50,Negative Growth,0.25,Negative Growth+Yield,0.25,3.2,V:0.8 L:4.0 R:2.0 T:6.0,🔻 Declining
GK Energy,GKENERGY,GK Energy Ltd,12.4,"2,781",0.00,171,N/A,0.07,N/A,0.07,N/A,8.9,V:10.0 L:7.2 R:8.4 T:10.0,🚀 Inflection
